Title,Price,Number of Bedrooms,Number of Bathrooms,Property Type,Floor Area (m2),BER Rating,Latitude,Longitude,Listing Views,Area,County,Features,Date of Construction,Price_per_m2,PriceCategory,PriceCategoryEncoded
"Grey's Corner, Ferrybank, Co. Wexford, Y35XNP4",895000,5,2,0,265.0,5,52.3486,-6.456929,14011.0,ferrybank-wexford,2,"Overlooking the River Slaney Estuary & Wexford town.  , Built in 2007 , Extending to c. 265 sq.m. / 2,853 sq.ft. , 5 bedrooms, 2 bathrooms., Private & sheltered patio facing the river estuary view.",2007.0,3377.3584905660377,High,0
"Ballard, Barna, Co. Galway, H91P22T",1250000,4,4,0,333.0,10,53.257378,-9.134137,19535.0,barna-galway,3,Unknown,1978.0,3753.7537537537537,High,0
"11 Birchfield Lawn, Dublin 14, Kilmacud, Co. Dublin, D14R6C5",595000,4,1,4,93.0,9,53.291674,-6.23159,4565.0,kilmacud-dublin,0,"Four bed home in a prime location - 93sqms / 1000 sq. ft., Off street parking, Superb local schools, Gas fired central heating., Enjoy access to local amenities parks, and public transport., All fitted carpets, curtains, light fittings, and kitchen appliances are included., Quiet yet highly convenient location",1983.0,6397.8494623655915,Medium-High,1
"41 Monaleen Heights, Castletroy, Limerick City, Co. Limerick, V94TFT6",565000,4,3,0,178.0,5,52.662889,-8.554347,2309.0,limerick-city,12,"Turnkey Four Bedroom Detached Property, High BER Rating & Solar Panels Installed, 3 x Wood Burning Stoves, Burglar Alarm & Wired For Broadband, Attic Floored For Storage, Nest Thermostat Installed, Filtered Water In Kitchen, Iron Gates On Either Side Of The Property, Steel 3mx3m Shed With Concrete Floor & Non-Drip Interior Lining & Insulated Roof, Astroturf Low Maintenance Rear Garden ",1980.0,3174.1573033707864,Medium-High,1
"48 Elderwood Park, Boreenmanna Road, Ballintemple, Co. Cork, T12E621",295000,2,2,8,88.0,7,51.892087,-8.441552,2489.0,ballintemple-cork,1,"3rd Floor Two Bedroomed Apartment, Great Location, close to Douglas, Cork City and link road networks, Gas central heating, Underground park space and outside visitor spaces, Lift access",2006.0,3352.2727272727275,Medium-Low,3
"80 Ramleh Park, Milltown, Dublin 6, D06C8Y1",1100000,4,2,4,120.0,9,53.313596,-6.24466,4085.0,milltown-dublin,0,"Secluded South East Facing Rear Garden, Walking distance to Milltown Luas, village and Golf Club, Close to UCD Belfield and the Dodder Park Trail River Walks, Gas Fired Central Heating, Double Glazed Windows",1930.0,9166.666666666666,High,0
"8 Oak View, Ballacollig, Mountmellick, Co. Laois, R32Y227",230000,3,3,4,117.0,8,53.120993,-7.315643,2966.0,mountmellick-laois,19,"Double drive to front, Overlooking green to front, Double glazed windows, Concrete patio to rear, Sunny South facing garden, Attic converted – suit as home office / Storage",2006.0,1965.8119658119658,Low,4
"FORTH MOUNTAIN STUD, The Cools, Barntown, Co. Wexford, Y35YP57",1400000,4,5,0,310.0,7,52.315785,-6.582969,3559.0,barntown-wexford,2,"71 acres of lush green farmland., 31 spacious stables, lunging & all weather jumping arena also cross country., Spacious car park for lorries & horse boxes., Large indoor riding arena (7 span) and 2 fully equipped tack rooms., Residence is very tastefully decorated and presented., Conveniently located only a five minute drive to the N11/N25 & just a 10km to Wexford town., Fantastic opportunity Not to be Missed.",2003.0,4516.129032258064,High,0
"85 Westbrook, Ballymoneen Road, Knocknacarra, Co. Galway, H91DCR9",585000,4,3,0,150.0,7,53.261893,-9.121493,2280.0,knocknacarra-galway,3,"Large detached residence, Good condition, Off-street parking, Popular residential location, Cul-de-sac setting, Well serviced for local amenities",1993.0,3900.0,Medium-High,1
"209a Windmill Road, Crumlin, Dublin 12, D12Y3C7",450000,3,2,0,85.0,8,53.321495,-6.314768,2741.0,crumlin-dublin,0,"Modern Detached property, Modern kitchen recently installed, Extra insulation fitted, Gas fired central heating, Three bedrooms, DG PVC Windows, Large back garden, Close to City Centre",2005.0,5294.117647058823,Medium,2
"12 Cashelmara, Knocknacarra, Co. Galway, H91NDE0",875000,5,5,0,237.0,5,53.260346,-9.10691,4979.0,knocknacarra-galway,3,"Exceptional detached residence, Turn-key condition, B3 rating, Abundance of accommodation & reception spaces, Plentiful off-street parking, Sought after residentila location, Elevated position with rear views of Rusheen Bay, Well serviced for local amenities & public transport, Close proximity to popular outdoor landmarks, Walking distance to Salthill Promenade & Blackrock Diving Tower",1994.0,3691.9831223628694,High,0
"8 Sunnyside, Ballypatrick, Ballypatrick, Co. Tipperary, E91W9P8",440000,6,4,0,224.0,5,52.390385,-7.5422,2179.0,ballypatrick-tipperary,13,"Double glazed windows, Oil fired central heating & Solid fuel stove, 6 Bedrooms & 4 Bathrooms, Built 2007, Mains Water",2006.0,1964.2857142857142,Medium,2
"Misty Moorings, Cappagh, Kinsale, Co. Cork, P17HW73",1600000,5,4,0,185.0,7,51.701195,-8.544927,7871.0,kinsale-cork,1,"Beautiful Four Bed Detached Home, Approx. 185 sq m / 1,989 sq ft, Site Approx. 0.43 Ha / 1.08 acres, Private mooring, River &amp; harbour views, Planning obtained to join house to apartment, Detached one bed apartment (Approx. 48 sq m/527 sq ft), Separate studio space (Approx. 35 sq m/380 sq ft), Private deck &amp; Infinity Pool, GFCH/OFCH/CCTV",1990.0,8648.648648648648,High,0
"Dundela House, Golf Links Road, Castletroy, Co. Limerick, V94W0YF",850000,4,4,0,407.0,7,52.656179,-8.566663,5796.0,castletroy-limerick,12,"Ample Gated Parking On Site, Close to excellent Primary & Secondary Schools, Tastefully presented interior, Close to Main National Road Network, Close To University Of Limerick, Popular Residential Location",1978.0,2088.4520884520884,High,0
"Knockgraffon, Cahir, New Inn, Co. Tipperary, E21NX57",150000,3,2,0,111.0,13,52.420738,-7.922074,8866.0,new-inn-tipperary,13,Unknown,1900.0,1351.3513513513512,Low,4
"2 Merchants Quay, Merchants Road, City Centre, Galway City, Co. Galway, H91CC83",325000,2,2,8,68.0,9,53.270779,-9.05254,3352.0,galway-city,3,"Ground floor & first floor duplex apartment, Well proportioned accommodation, Good condition, Excellent outside space included, City Centre location, Secured complex, Around the corner from Latin Quarter & Spanish Arch, Close proximtiy to Eyre Square, Walking distance to Galway University, Well serviced for amenities expected from city living",1990.0,4779.411764705882,Medium-Low,3
"Townparks, Castledermot, Castledermot, Co. Kildare, R14WD62",435000,3,2,0,129.0,5,52.90394,-6.835962,7954.0,castledermot-kildare,7,"Very good condition throughout, Private site with circa 1 acre, PVC double glazed windows, Within Walking distance to Castledermot and close to transport links , Energy efficient property ",1988.0,3372.093023255814,Medium,2
"Kiljames House On Circa 10.91 Acres, Kiljames Lower, Thomastown, Co Kilkenny, R95DH36",1350000,5,8,0,529.0,4,52.537733,-7.10486,31089.0,thomastown-kilkenny,15,"Executive countryside residence on circa 10.91 Acres, Impressive and spacious light filled accommodation extending to 5,612 Sq. Ft. / 529 Sq. M. approx over three levels, Detached garage extending to circa 1,600 Sq. Ft. / 148 Sq. M. approx., Oil Fired and Geothermal Heating, Underfloor heating in the House and Garage, Internal Vacuum System, Waste Treatment System, Alarm fitted, Double Glazed Sash Windows, Thomas Anderson remote blinds fitted in the Sun Room and the Entrance Hall windows",2006.0,2551.9848771266543,High,0
